"key_id","iuropa_judge_id","item_id","first_name","last_name","last_name_latin","last_name_label","last_name_latin_label","item_number","item_text","type_education","type_job","type_other","job_judge","job_lawyer","job_civil_servant","job_academic","job_politician","court_lower","court_high","court_cjeu","court_international","common_law_university"
1,"J:0101","J:0101:01","Louis","Delvaux","Delvaux","Delvaux","Delvaux",1,"Louis DELVAUX Born on 21 October 1895 in Orp-le-Grand (Belgium)",0,0,1,0,0,0,0,0,0,0,0,0,0
2,"J:0101","J:0101:02","Louis","Delvaux","Delvaux","Delvaux","Delvaux",2,"Belgian national",0,0,1,0,0,0,0,0,0,0,0,0,0
3,"J:0101","J:0101:03","Louis","Delvaux","Delvaux","Delvaux","Delvaux",3,"Doctor of Laws (1922)",1,0,0,0,0,0,0,0,0,0,0,0,0
4,"J:0101","J:0101:04","Louis","Delvaux","Delvaux","Delvaux","Delvaux",4,"enrolled at the Louvain Bar, then at the Nivelles Bar",0,1,0,0,1,0,0,0,0,0,0,0,0
5,"J:0101","J:0101:05","Louis","Delvaux","Delvaux","Delvaux","Delvaux",5,"deputy for the district of Nivelles in the Chamber of Representatives (1936-46)",0,1,0,0,0,0,0,1,0,0,0,0,0
6,"J:0101","J:0101:06","Louis","Delvaux","Delvaux","Delvaux","Delvaux",6,"Minister for Agriculture (1945)",0,1,0,0,0,1,0,0,0,0,0,0,0
7,"J:0101","J:0101:07","Louis","Delvaux","Delvaux","Delvaux","Delvaux",7,"left politics (1946) and returned to the bar (1946-49)",0,1,0,0,1,0,0,0,0,0,0,0,0
8,"J:0101","J:0101:08","Louis","Delvaux","Delvaux","Delvaux","Delvaux",8,"Chairman of the Board of the Office des séquestres (Public Sequestration Office) (1949-53)",0,1,0,0,0,1,0,0,0,0,0,0,0
9,"J:0101","J:0101:09","Louis","Delvaux","Delvaux","Delvaux","Delvaux",9,"Auditor of the Banque nationale",0,1,0,0,0,1,0,0,0,0,0,0,0
10,"J:0101","J:0101:10","Louis","Delvaux","Delvaux","Delvaux","Delvaux",10,"Director of the Société nationale de la petite propriété terrienne (National Company for Small Rural Landholdings) until March 1953",0,1,0,0,0,0,0,0,0,0,0,0,0
11,"J:0101","J:0101:11","Louis","Delvaux","Delvaux","Delvaux","Delvaux",11,"engaged in journalism from 1931 to 1940 and from 1944 to 1945: ‘Le vingtième siècle', ‘Le Soir', ‘La cité'",0,1,0,0,0,0,0,0,0,0,0,0,0
