"iuropa_judge_id","last_name_label","brekke_judge_id"
"J:0101","Delvaux",201
"J:0102","Mertens de Wilmars",202
"J:0103","Joliet",203
"J:0104","Van Gerven",209
"J:0105","Lenaerts",204
"J:0106","Wathelet",205
"J:0107","Dehousse",206
"J:0108","Van Raepenbusch",210
"J:0109","Nihoul",207
"J:0110","De Baere",208
"J:0201","Lagrange",1013
"J:0202","Rueff",1001
"J:0203","Lecourt",1002
"J:0204","Gand",1020
"J:0205","Dutheillet de Lamothe",1014
"J:0206","Mayras",1015
"J:0207","Touffait",1003
"J:0208","Rozès",1016
"J:0209","Grévisse",1004
"J:0210","Galmot",1005
"J:0211","Darmon",1017
"J:0212","Biancarelli",1006
"J:0213","Léger",1018
"J:0214","Puissochet",1007
"J:0215","Potocki",1008
"J:0216","Legal",1009
"J:0217","Gervasoni",1012
"J:0218","Bonichot",1010
"J:0219","Bot",1019
"J:0220","Truchot",1011
"J:0221","de la Tour",1022
"J:0301","Riese",1101
"J:0302","Roemer",1113
"J:0303","Strauss",1102
"J:0304","Kutscher",1103
"J:0305","Reischl",1114
"J:0306","Everling",1104
"J:0307","Bahlmann",1105
"J:0308","Lenz",1115
"J:0309","Zuleeg",1106
"J:0310","Kirschner",1107
"J:0311","Hirsch",1108
"J:0312","Pirrung",1109
"J:0313","Alber",1116
"J:0314","Colneric",1110
"J:0315","Kokott",1117
"J:0316","Kreppel",1118
"J:0317","von Danwitz",1111
"J:0318","Dittrich",1112
"J:0319","Laitenberger",1120
"J:0320","Steinfatt",1121
"J:0401","Pilotti",1501
"J:0402","Catalano",1503
"J:0403","Rossi, R.",1502
"J:0404","Trabucchi",1504
"J:0405","Monaco",1505
"J:0406","Capotorti",1506
"J:0407","Bosco",1507
"J:0408","Mancini",1508
"J:0409","Tesauro",1517
"J:0410","Saggio",1509
"J:0411","La Pergola",1510
"J:0412","Mengozzi",1511
"J:0413","Tizzano",1513
"J:0414","Moavero Milanesi",1512
"J:0415","Perillo",1515
"J:0416","Berardis",1514
"J:0417","Pitruzzella",1518
"J:0418","Rossi, L.",1516
"J:0419","Mastroianni",1519
"J:0420","Porchia",1520
"J:0501","Hammes",1801
"J:0502","Pescatore",1802
"J:0503","Schockweiler",1803
"J:0504","Mischo",1809
"J:0505","Schintgen",1804
"J:0506","Jaeger",1805
"J:0507","Kasel",1806
"J:0508","Biltgen",1807
"J:0509","Spielmann",1808
"J:0601","Serrarens",2001
"J:0602","van Kleffens",2002
"J:0603","Donner",2003
"J:0604","Koopmans",2004
"J:0605","verLoren van Themaat",2012
"J:0606","Briët",2005
"J:0607","Kapteyn",2006
"J:0608","Meij",2007
"J:0609","Geelhoed",2013
"J:0610","Timmermans",2008
"J:0611","Prechal",2009
"J:0612","van der Woude",2010
"J:0613","Barents",2011
"J:0701","Sørensen",701
"J:0702","Due",702
"J:0703","Vesterdorf",703
"J:0704","Gulmann",704
"J:0705","Elmer",708
"J:0706","Bay Larsen",705
