"iuropa_judge_id","full_name","first_name","last_name","last_name_latin","last_name_label","last_name_latin_label","member_state","birth_year","female","judge_court_of_justice","judge_general_court","judge_civil_service_tribunal","advocate_general","registrar_court_of_justice","registrar_general_court","registrar_civil_service_tribunal","current_member","count_positions","nonconsecutive_positions","start_date","end_date","start_date_judge_court_of_justice","end_date_judge_court_of_justice","start_date_judge_general_court","end_date_judge_general_court","start_date_judge_civil_service_tribunal","end_date_judge_civil_service_tribunal","start_date_advocate_general","end_date_advocate_general"
"J:0101","Louis Delvaux","Louis","Delvaux","Delvaux","Delvaux","Delvaux","Belgium",1895,0,1,0,0,0,0,0,0,0,1,0,1952-12-04,1958-10-07,1952-12-04,1958-10-07,NA,NA,NA,NA,NA,NA
"J:0102","Albert Van Houtte","Albert","Van Houtte","Van Houtte","Van Houtte","Van Houtte","Belgium",1914,0,0,0,0,0,1,0,0,0,1,0,1953-03-26,1982-02-09,NA,NA,NA,NA,NA,NA,NA,NA
"J:0103","Josse Mertens de Wilmars","Josse","Mertens de Wilmars","Mertens de Wilmars","Mertens de Wilmars","Mertens de Wilmars","Belgium",1912,0,1,0,0,0,0,0,0,0,1,0,1967-10-09,1984-04-10,1967-10-09,1984-04-10,NA,NA,NA,NA,NA,NA
"J:0104","René Joliet","René","Joliet","Joliet","Joliet","Joliet","Belgium",1938,0,1,0,0,0,0,0,0,0,1,0,1984-04-10,1995-07-15,1984-04-10,1995-07-15,NA,NA,NA,NA,NA,NA
"J:0105","Walter Van Gerven","Walter","Van Gerven","Van Gerven","Van Gerven","Van Gerven","Belgium",1935,0,0,0,0,1,0,0,0,0,1,0,1988-10-07,1994-10-06,NA,NA,NA,NA,NA,NA,1988-10-07,1994-10-06
"J:0106","Koen Lenaerts","Koen","Lenaerts","Lenaerts","Lenaerts","Lenaerts","Belgium",1954,0,1,1,0,0,0,0,0,1,2,0,1989-09-25,NA,2003-10-07,NA,1989-09-25,2003-10-06,NA,NA,NA,NA
"J:0107","Melchior Wathelet","Melchior","Wathelet","Wathelet","Wathelet","Wathelet","Belgium",1949,0,1,0,0,1,0,0,0,0,2,1,1995-09-08,2018-10-08,1995-09-08,2003-10-06,NA,NA,NA,NA,2012-10-08,2018-10-08
"J:0108","Franklin Dehousse","Franklin","Dehousse","Dehousse","Dehousse","Dehousse","Belgium",1959,0,0,1,0,0,0,0,0,0,1,0,2003-10-07,2016-08-31,NA,NA,2003-10-07,2016-08-31,NA,NA,NA,NA
"J:0109","Sean Van Raepenbusch","Sean","Van Raepenbusch","Van Raepenbusch","Van Raepenbusch","Van Raepenbusch","Belgium",1956,0,0,0,1,0,0,0,0,0,1,0,2005-10-06,2016-08-31,NA,NA,NA,NA,2005-10-06,2016-08-31,NA,NA
"J:0110","Paul Nihoul","Paul","Nihoul","Nihoul","Nihoul","Nihoul","Belgium",1963,0,0,1,0,0,0,0,0,1,1,0,2016-09-01,NA,NA,NA,2016-09-01,NA,NA,NA,NA,NA
"J:0111","Geert De Baere","Geert","De Baere","De Baere","De Baere","De Baere","Belgium",1979,0,0,1,0,0,0,0,0,1,1,0,2017-10-04,NA,NA,NA,2017-10-04,NA,NA,NA,NA,NA
"J:0201","Maurice Lagrange","Maurice","Lagrange","Lagrange","Lagrange","Lagrange","France",1900,0,0,0,0,1,0,0,0,0,1,0,1952-12-04,1964-10-08,NA,NA,NA,NA,NA,NA,1952-12-04,1964-10-08
"J:0202","Jacques Rueff","Jacques","Rueff","Rueff","Rueff","Rueff","France",1896,0,1,0,0,0,0,0,0,0,1,0,1952-12-04,1962-05-18,1952-12-04,1962-05-18,NA,NA,NA,NA,NA,NA
"J:0203","Robert Lecourt","Robert","Lecourt","Lecourt","Lecourt","Lecourt","France",1908,0,1,0,0,0,0,0,0,0,1,0,1962-05-18,1976-10-06,1962-05-18,1976-10-06,NA,NA,NA,NA,NA,NA
"J:0204","Joseph Gand","Joseph","Gand","Gand","Gand","Gand","France",1913,0,0,0,0,1,0,0,0,0,1,0,1964-10-08,1970-10-06,NA,NA,NA,NA,NA,NA,1964-10-08,1970-10-06
"J:0205","Alain Louis Dutheillet de Lamothe","Alain Louis","Dutheillet de Lamothe","Dutheillet de Lamothe","Dutheillet de Lamothe","Dutheillet de Lamothe","France",1919,0,0,0,0,1,0,0,0,0,1,0,1970-10-07,1972-01-02,NA,NA,NA,NA,NA,NA,1970-10-07,1972-01-02
"J:0206","Henri Mayras","Henri","Mayras","Mayras","Mayras","Mayras","France",1920,0,0,0,0,1,0,0,0,0,1,0,1972-03-22,1981-03-18,NA,NA,NA,NA,NA,NA,1972-03-22,1981-03-18
"J:0207","Adolphe Touffait","Adolphe","Touffait","Touffait","Touffait","Touffait","France",1907,0,1,0,0,0,0,0,0,0,1,0,1976-10-14,1982-10-06,1976-10-14,1982-10-06,NA,NA,NA,NA,NA,NA
"J:0208","Simone Rozès","Simone","Rozès","Rozes","Rozès","Rozes","France",1920,1,0,0,0,1,0,0,0,0,1,0,1981-03-18,1984-02-13,NA,NA,NA,NA,NA,NA,1981-03-18,1984-02-13
