key_id,court,first_name,last_name,last_name_latin,member_state,item_text,type_education,type_job,type_other,job_lawyer,job_academic,job_politician,job_judge,job_civil_servant,job_other,court_lower,court_high,court_cjeu,court_international,common_law_university
1,Court of Justice,Koen,Lenaerts,Lenaerts,Belgium,"lic. iuris, Ph.D. in Law (Katholieke Universiteit Leuven)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Court of Justice,Koen,Lenaerts,Lenaerts,Belgium,"Master of Laws, Master in Public Administration (Harvard University)",1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Court of Justice,Koen,Lenaerts,Lenaerts,Belgium,"Lecturer (1979-83), subsequently Professor of European Law, Katholieke Universiteit Leuven (since 1983)",0,1,0,0,1,0,0,0,0,0,0,0,0,0
4,Court of Justice,Koen,Lenaerts,Lenaerts,Belgium,Legal Secretary at the Court of Justice (1984-85),0,1,0,1,0,0,0,1,0,0,0,0,0,0
5,Court of Justice,Koen,Lenaerts,Lenaerts,Belgium,"Professor at the College of Europe, Bruges (1984-89)",0,1,0,0,1,0,0,0,0,0,0,0,0,0
6,Court of Justice,Koen,Lenaerts,Lenaerts,Belgium,member of the Brussels Bar (1986-89),0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,Court of Justice,Koen,Lenaerts,Lenaerts,Belgium,Visiting Professor at the Harvard Law School (1989),0,1,0,0,1,0,0,0,0,0,0,0,0,1
8,Court of Justice,Koen,Lenaerts,Lenaerts,Belgium,Judge at the Court of First Instance of the European Communities from 25 September 1989 to 6 October 2003,0,1,0,0,0,0,1,0,0,0,0,1,0,0
9,Court of Justice,Koen,Lenaerts,Lenaerts,Belgium,Judge at the Court of Justice since 7 October 2003,0,1,0,0,0,0,1,0,0,0,0,1,0,0
10,Court of Justice,Koen,Lenaerts,Lenaerts,Belgium,Vice-President of the Court of Justice from 9 October 2012 to 7 October 2015,0,1,0,0,0,0,1,0,0,0,0,1,0,0
11,Court of Justice,Koen,Lenaerts,Lenaerts,Belgium,President of the Court of Justice since 8 October 2015,0,1,0,0,0,0,1,0,0,0,0,1,0,0
12,Court of Justice,Rosario,Silva de Lapuerta,Silva de Lapuerta,Spain,"Bachelor of Laws (Universidad Complutense, Madrid)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Court of Justice,Rosario,Silva de Lapuerta,Silva de Lapuerta,Spain,Abogado del Estado in Malaga,0,1,0,1,0,0,0,0,0,0,0,0,0,0
14,Court of Justice,Rosario,Silva de Lapuerta,Silva de Lapuerta,Spain,"Abogado del Estado at the Legal Service of the Ministry of Transport, Tourism and Communication and, subsequently, at the Legal Service of the Ministry of Foreign Affairs",0,1,0,1,0,0,0,1,0,0,0,0,0,0
15,Court of Justice,Rosario,Silva de Lapuerta,Silva de Lapuerta,Spain,Head Abogado del Estado of the State Legal Service for Cases before the Court of Justice of the European Communities and Deputy Director-General of the Community and International Legal Assistance Department (Ministry of Justice),0,1,0,1,0,0,0,1,0,0,0,0,0,0
16,Court of Justice,Rosario,Silva de Lapuerta,Silva de Lapuerta,Spain,member of the Commission think tank on the future of the Community judicial system,0,1,0,0,0,0,0,1,0,0,0,0,0,0
17,Court of Justice,Rosario,Silva de Lapuerta,Silva de Lapuerta,Spain,Head of the Spanish delegation in the ‘Friends of the Presidency' Group with regard to the reform of the Community judicial system in the Treaty of Nice and of the Council ad hoc working party on the Court of Justice,0,1,0,0,0,0,0,1,0,0,0,0,0,0
18,Court of Justice,Rosario,Silva de Lapuerta,Silva de Lapuerta,Spain,"Professor of Community Law at the Diplomatic School, Madrid",0,1,0,0,1,0,0,0,0,0,0,0,0,0
19,Court of Justice,Rosario,Silva de Lapuerta,Silva de Lapuerta,Spain,Co-director of the journal Noticias de la Unión Europea,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20,Court of Justice,Rosario,Silva de Lapuerta,Silva de Lapuerta,Spain,Judge at the Court of Justice since 7 October 2003,0,1,0,0,0,0,1,0,0,0,0,1,0,0
21,Court of Justice,Rosario,Silva de Lapuerta,Silva de Lapuerta,Spain,Vice President of the Court of Justice since 9 October 2018,0,1,0,0,0,0,1,0,0,0,0,1,0,0
22,Court of Justice,Jean-Claude,Bonichot,Bonichot,France,"graduated in law at the University of Metz, degree from the Institut d'études politiques, Paris, former student at the École nationale d'administration",1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Court of Justice,Jean-Claude,Bonichot,Bonichot,France,"rapporteur (1982-85), commissaire du gouvernement (1985-87 and 1992-99), Judge (1999-2000), President of the Sixth Sub-Division of the Judicial Division (2000-06), at the Council of State",0,1,0,0,0,0,1,0,0,1,0,0,0,0
24,Court of Justice,Jean-Claude,Bonichot,Bonichot,France,Legal Secretary at the Court of Justice (1987-91),0,1,0,1,0,0,0,1,0,0,0,0,0,0
25,Court of Justice,Jean-Claude,Bonichot,Bonichot,France,"Director of the Private Office of the Minister for Labour, Employment and Vocational Training, then Director of the Private Office of the Minister of State for the Civil Service and Modernisation of Administration (1991-92)",0,1,0,0,0,0,0,1,0,0,0,0,0,0
26,Court of Justice,Jean-Claude,Bonichot,Bonichot,France,Head of the Legal Mission of the Council of State at the National Health Insurance Fund for Employed Persons (2001-06),0,1,0,0,0,0,0,0,1,0,0,0,0,0
27,Court of Justice,Jean-Claude,Bonichot,Bonichot,France,"Associate Professor at the University of Metz (1988-2000), then at the University of Paris I, Panthéon-Sorbonne (from 2000)",0,1,0,0,1,0,0,0,0,0,0,0,0,0
28,Court of Justice,Jean-Claude,Bonichot,Bonichot,France,"author of numerous publications on administrative law, Community law and European human rights law",0,1,0,0,1,0,0,0,0,0,0,0,0,0
29,Court of Justice,Jean-Claude,Bonichot,Bonichot,France,"Founder and chairman of the editorial committee of the Bulletin de jurisprudence de droit de l'urbanisme, co-founder and member of the editorial committee of the Bulletin juridique des collectivités locales",0,1,0,0,1,0,0,0,0,0,0,0,0,0
30,Court of Justice,Jean-Claude,Bonichot,Bonichot,France,President of the Scientific Council of the Research Group on Institutions and Law governing Regional and Urban Planning and Habitats,0,1,0,0,0,0,0,0,1,0,0,0,0,0
31,Court of Justice,Jean-Claude,Bonichot,Bonichot,France,Judge at the Court of Justice since 7 October 2006,0,1,0,0,0,0,1,0,0,0,0,1,0,0
32,Court of Justice,Alexander,Arabadjiev,Arabadjiev,Bulgaria,"legal studies (St Kliment Ohridski University, Sofia)",1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Court of Justice,Alexander,Arabadjiev,Arabadjiev,Bulgaria,"Judge at the District Court, Blagoevgrad (1975-83)",0,1,0,0,0,0,1,0,0,1,0,0,0,0
34,Court of Justice,Alexander,Arabadjiev,Arabadjiev,Bulgaria,"Judge at the Regional Court, Blagoevgrad (1983-86)",0,1,0,0,0,0,1,0,0,1,0,0,0,0
35,Court of Justice,Alexander,Arabadjiev,Arabadjiev,Bulgaria,Judge at the Supreme Court (1986-91),0,1,0,0,0,0,1,0,0,0,1,0,0,0
36,Court of Justice,Alexander,Arabadjiev,Arabadjiev,Bulgaria,Judge at the Constitutional Court (1991-2000),0,1,0,0,0,0,1,0,0,0,1,0,0,0
37,Court of Justice,Alexander,Arabadjiev,Arabadjiev,Bulgaria,member of the European Commission of Human Rights (1997-99),0,1,0,0,0,0,0,1,0,0,0,0,0,0
38,Court of Justice,Alexander,Arabadjiev,Arabadjiev,Bulgaria,member of the European Convention on the Future of Europe (2002-03),0,1,0,0,0,0,0,1,0,0,0,0,0,0
39,Court of Justice,Alexander,Arabadjiev,Arabadjiev,Bulgaria,member of the National Assembly (2001-06),0,1,0,0,0,1,0,0,0,0,0,0,0,0
40,Court of Justice,Alexander,Arabadjiev,Arabadjiev,Bulgaria,Observer at the European Parliament,0,1,0,0,0,0,0,0,1,0,0,0,0,0
41,Court of Justice,Alexander,Arabadjiev,Arabadjiev,Bulgaria,Judge at the Court of Justice since 12 January 2007,0,1,0,0,0,0,1,0,0,0,0,1,0,0
