full_name,first_name,last_name,last_name_latin,last_name_label,last_name_latin_label,member_state_id,member_state,member_state_code,birth_year,gender_id,gender,female,judge_court_of_justice,judge_general_court,judge_civil_service_tribunal,advocate_general,registrar_court_of_justice,registrar_general_court,registrar_civil_service_tribunal,current_status,count_positions,nonconsecutive_positions,start_date,end_date,start_date_judge_court_of_justice,end_date_judge_court_of_justice,start_date_judge_general_court,end_date_judge_general_court,start_date_judge_civil_service_tribunal,end_date_judge_civil_service_tribunal,start_date_advocate_general,end_date_advocate_general
Geert De Baere,Geert,De Baere,De Baere,De Baere,De Baere,1,Belgium,BE,1979,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2017-10-04,Present,,,2017-10-04,Present,,,,
Franklin Dehousse,Franklin,Dehousse,Dehousse,Dehousse,Dehousse,1,Belgium,BE,1959,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2003-10-07,2016-08-31,,,2003-10-07,2016-08-31,,,,
Louis Delvaux,Louis,Delvaux,Delvaux,Delvaux,Delvaux,1,Belgium,BE,1895,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1952-12-04,1958-10-07,1952-12-04,1958-10-07,,,,,,
René Joliet,René,Joliet,Joliet,Joliet,Joliet,1,Belgium,BE,1938,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1984-04-10,1995-07-15,1984-04-10,1995-07-15,,,,,,
Koen Lenaerts,Koen,Lenaerts,Lenaerts,Lenaerts,Lenaerts,1,Belgium,BE,1954,2,Male,0,1,1,0,0,0,0,0,Current CJ judge; Former GC judge,2,0,1989-09-25,Present,2003-10-07,Present,1989-09-25,2003-10-06,,,,
Josse Mertens de Wilmars,Josse,Mertens de Wilmars,Mertens de Wilmars,Mertens de Wilmars,Mertens de Wilmars,1,Belgium,BE,1912,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1967-10-09,1984-04-10,1967-10-09,1984-04-10,,,,,,
Paul Nihoul,Paul,Nihoul,Nihoul,Nihoul,Nihoul,1,Belgium,BE,1963,2,Male,0,0,1,0,0,0,0,0,Current GC judge,1,0,2016-09-01,Present,,,2016-09-01,Present,,,,
Walter Van Gerven,Walter,Van Gerven,Van Gerven,Van Gerven,Van Gerven,1,Belgium,BE,1935,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1988-10-07,1994-10-06,,,,,,,1988-10-07,1994-10-06
Albert Van Houtte,Albert,Van Houtte,Van Houtte,Van Houtte,Van Houtte,1,Belgium,BE,1914,2,Male,0,0,0,0,0,1,0,0,Formare CJ registrar,1,0,1953-03-26,1982-02-09,,,,,,,,
Sean Van Raepenbusch,Sean,Van Raepenbusch,Van Raepenbusch,Van Raepenbusch,Van Raepenbusch,1,Belgium,BE,1956,2,Male,0,0,0,1,0,0,0,0,Former CST judge,1,0,2005-10-06,2016-08-31,,,,,2005-10-06,2016-08-31,,
Melchior Wathelet,Melchior,Wathelet,Wathelet,Wathelet,Wathelet,1,Belgium,BE,1949,2,Male,0,1,0,0,1,0,0,0,Former CJ judge; Former AG,2,1,1995-09-08,2018-10-08,1995-09-08,2003-10-06,,,,,2012-10-08,2018-10-08
Jacques Biancarelli,Jacques,Biancarelli,Biancarelli,Biancarelli,Biancarelli,2,France,FR,1948,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,1989-09-01,1995-08-31,,,1989-09-01,1995-08-31,,,,
Jean-Claude Bonichot,Jean-Claude,Bonichot,Bonichot,Bonichot,Bonichot,2,France,FR,1955,2,Male,0,1,0,0,0,0,0,0,Current CJ judge,1,0,2006-10-07,Present,2006-10-07,Present,,,,,,
Yves Bot,Yves,Bot,Bot,Bot,Bot,2,France,FR,1947,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,2006-10-07,2019-06-09,,,,,,,2006-10-07,2019-06-09
Emmanuel Coulon,Emmanuel,Coulon,Coulon,Coulon,Coulon,2,France,FR,1968,2,Male,0,0,0,0,0,0,1,0,Current GC registrar,1,0,2005-10-06,Present,,,,,,,,
Marco Darmon,Marco,Darmon,Darmon,Darmon,Darmon,2,France,FR,1930,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1984-02-13,1994-10-06,,,,,,,1984-02-13,1994-10-06
Jean Richard de la Tour,Jean Richard,de la Tour,de la Tour,de la Tour,de la Tour,2,France,FR,1959,2,Male,0,0,0,0,1,0,0,0,Current AG,1,0,2020-03-23,Present,,,,,,,2020-03-23,Present
Alain Louis Dutheillet de Lamothe,Alain Louis,Dutheillet de Lamothe,Dutheillet de Lamothe,Dutheillet de Lamothe,Dutheillet de Lamothe,2,France,FR,1919,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1970-10-07,1972-01-02,,,,,,,1970-10-07,1972-01-02
Yves Galmot,Yves,Galmot,Galmot,Galmot,Galmot,2,France,FR,1931,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1982-10-07,1988-10-06,1982-10-07,1988-10-06,,,,,,
Joseph Gand,Joseph,Gand,Gand,Gand,Gand,2,France,FR,1913,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1964-10-08,1970-10-06,,,,,,,1964-10-08,1970-10-06
Stéphane Gervasoni,Stéphane,Gervasoni,Gervasoni,Gervasoni,Gervasoni,2,France,FR,1967,2,Male,0,0,1,1,0,0,0,0,Current GC judge; Former CST judge,2,1,2005-10-01,Present,,,2013-09-01,Present,2005-10-01,2011-09-30,,
Jean-Guy Giraud,Jean-Guy,Giraud,Giraud,Giraud,Giraud,2,France,FR,1944,2,Male,0,0,0,0,0,1,0,0,Formare CJ registrar,1,0,1988-02-10,1994-02-09,,,,,,,,
Roger Grass,Roger,Grass,Grass,Grass,Grass,2,France,FR,1948,2,Male,0,0,0,0,0,1,0,0,Formare CJ registrar,1,0,1994-02-10,2010-10-05,,,,,,,,
Fernand Grévisse,Fernand,Grévisse,Grevisse,Grévisse,Grevisse,2,France,FR,1924,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,1,1981-04-01,1994-10-06,1981-04-01,1994-10-06,,,,,,
Maurice Lagrange,Maurice,Lagrange,Lagrange,Lagrange,Lagrange,2,France,FR,1900,2,Male,0,0,0,0,1,0,0,0,Former AG,1,0,1952-12-04,1964-10-08,,,,,,,1952-12-04,1964-10-08
Robert Lecourt,Robert,Lecourt,Lecourt,Lecourt,Lecourt,2,France,FR,1908,2,Male,0,1,0,0,0,0,0,0,Former CJ judge,1,0,1962-05-18,1976-10-06,1962-05-18,1976-10-06,,,,,,
Hubert Legal,Hubert,Legal,Legal,Legal,Legal,2,France,FR,1954,2,Male,0,0,1,0,0,0,0,0,Former GC judge,1,0,2001-09-01,2007-08-31,,,2001-09-01,2007-08-31,,,,
