key_id,old_judge_id,judge_id,full_name,first_name,last_name,last_name_latin,member_state_id,member_state,member_state_code,birth_year,gender_id,gender,female,judge_court_of_justice,judge_general_court,judge_civil_service_tribunal,advocate_general,count_positions,status,non_consecutive,start_date,end_date,start_date_court_of_justice,end_date_court_of_justice,start_date_general_court,end_date_general_court,start_date_civil_service_tribunal,end_date_civil_service_tribunal,start_date_advocate_general,end_date_advocate_general
1,201,101,Louis Delvaux,Louis,Delvaux,Delvaux,1,Belgium,BE,1895,2,Male,0,1,0,0,0,1,Former CJ judge,0,1952-12-04,1958-10-07,1952-12-04,1958-10-07,,,,,,
2,202,102,Josse Mertens de Wilmars,Josse,Mertens de Wilmars,Mertens de Wilmars,1,Belgium,BE,1912,2,Male,0,1,0,0,0,1,Former CJ judge,0,1967-10-09,1984-04-10,1967-10-09,1984-04-10,,,,,,
3,203,103,René Joliet,René,Joliet,Joliet,1,Belgium,BE,1938,2,Male,0,1,0,0,0,1,Former CJ judge,0,1984-04-10,1995-07-15,1984-04-10,1995-07-15,,,,,,
4,209,104,Walter Van Gerven,Walter,Van Gerven,Van Gerven,1,Belgium,BE,1935,2,Male,0,0,0,0,1,1,Former AG,0,1988-10-07,1994-10-06,,,,,,,1988-10-07,1994-10-06
5,204,105,Koen Lenaerts,Koen,Lenaerts,Lenaerts,1,Belgium,BE,1954,2,Male,0,1,1,0,0,2,Current CJ judge; Former GC judge,0,1989-09-25,present,2003-10-07,present,1989-09-25,2003-10-06,,,,
6,205,106,Melchior Wathelet,Melchior,Wathelet,Wathelet,1,Belgium,BE,1949,2,Male,0,1,0,0,1,2,Former CJ judge; Former AG,1,1995-09-08,2018-10-08,1995-09-08,2003-10-06,,,,,2012-10-08,2018-10-08
7,206,107,Franklin Dehousse,Franklin,Dehousse,Dehousse,1,Belgium,BE,1959,2,Male,0,0,1,0,0,1,Former GC judge,0,2003-10-07,2016-08-31,,,2003-10-07,2016-08-31,,,,
8,210,108,Sean Van Raepenbusch,Sean,Van Raepenbusch,Van Raepenbusch,1,Belgium,BE,1956,2,Male,0,0,0,1,0,1,Former CST judge,0,2005-10-06,2016-08-31,,,,,2005-10-06,2016-08-31,,
9,207,109,Paul Nihoul,Paul,Nihoul,Nihoul,1,Belgium,BE,1963,2,Male,0,0,1,0,0,1,Current GC judge,0,2016-09-01,present,,,2016-09-01,present,,,,
10,208,110,Geert De Baere,Geert,De Baere,De Baere,1,Belgium,BE,1979,2,Male,0,0,1,0,0,1,Current GC judge,0,2017-10-04,present,,,2017-10-04,present,,,,
11,1013,201,Maurice Lagrange,Maurice,Lagrange,Lagrange,2,France,FR,1900,2,Male,0,0,0,0,1,1,Former AG,0,1952-12-04,1964-10-08,,,,,,,1952-12-04,1964-10-08
12,1001,202,Jacques Rueff,Jacques,Rueff,Rueff,2,France,FR,1896,2,Male,0,1,0,0,0,1,Former CJ judge,0,1952-12-04,1962-05-18,1952-12-04,1962-05-18,,,,,,
13,1002,203,Robert Lecourt,Robert,Lecourt,Lecourt,2,France,FR,1908,2,Male,0,1,0,0,0,1,Former CJ judge,0,1962-05-18,1976-10-06,1962-05-18,1976-10-06,,,,,,
14,1020,204,Joseph Gand,Joseph,Gand,Gand,2,France,FR,1913,2,Male,0,0,0,0,1,1,Former AG,0,1964-10-08,1970-10-06,,,,,,,1964-10-08,1970-10-06
15,1014,205,Alain Louis Dutheillet de Lamothe,Alain Louis,Dutheillet de Lamothe,Dutheillet de Lamothe,2,France,FR,1919,2,Male,0,0,0,0,1,1,Former AG,0,1970-10-07,1972-01-02,,,,,,,1970-10-07,1972-01-02
16,1015,206,Henri Mayras,Henri,Mayras,Mayras,2,France,FR,1920,2,Male,0,0,0,0,1,1,Former AG,0,1972-03-22,1981-03-18,,,,,,,1972-03-22,1981-03-18
17,1003,207,Adolphe Touffait,Adolphe,Touffait,Touffait,2,France,FR,1907,2,Male,0,1,0,0,0,1,Former CJ judge,0,1976-10-14,1982-10-06,1976-10-14,1982-10-06,,,,,,
18,1016,208,Simone Rozès,Simone,Rozès,Rozes,2,France,FR,1920,1,Female,1,0,0,0,1,1,Former AG,0,1981-03-18,1984-02-13,,,,,,,1981-03-18,1984-02-13
19,1004,209,Fernand Grévisse,Fernand,Grévisse,Grevisse,2,France,FR,1924,2,Male,0,1,0,0,0,1,Former CJ judge,1,1981-04-01,1994-10-06,1981-04-01,1994-10-06,,,,,,
20,1005,210,Yves Galmot,Yves,Galmot,Galmot,2,France,FR,1931,2,Male,0,1,0,0,0,1,Former CJ judge,0,1982-10-07,1988-10-06,1982-10-07,1988-10-06,,,,,,
21,1017,211,Marco Darmon,Marco,Darmon,Darmon,2,France,FR,1930,2,Male,0,0,0,0,1,1,Former AG,0,1984-02-13,1994-10-06,,,,,,,1984-02-13,1994-10-06
22,1006,212,Jacques Biancarelli,Jacques,Biancarelli,Biancarelli,2,France,FR,1948,2,Male,0,0,1,0,0,1,Former GC judge,0,1989-09-01,1995-08-31,,,1989-09-01,1995-08-31,,,,
23,1018,213,Philippe Léger,Philippe,Léger,Leger,2,France,FR,1938,2,Male,0,0,0,0,1,1,Former AG,0,1994-10-07,2006-10-06,,,,,,,1994-10-07,2006-10-06
24,1007,214,Jean-Pierre Puissochet,Jean-Pierre,Puissochet,Puissochet,2,France,FR,1936,2,Male,0,1,0,0,0,1,Former CJ judge,0,1994-10-07,2006-10-06,1994-10-07,2006-10-06,,,,,,
