"key_id","judge_id","old_judge_id","full_name","first_name","last_name","last_name_latin","last_name_label","last_name_latin_label","member_state_id","member_state","member_state_code","birth_year","gender_id","gender","female","judge_court_of_justice","judge_general_court","judge_civil_service_tribunal","advocate_general","count_positions","current_status","current_member","non_consecutive","start_date","end_date","start_date_court_of_justice","end_date_court_of_justice","start_date_general_court","end_date_general_court","start_date_civil_service_tribunal","end_date_civil_service_tribunal","start_date_advocate_general","end_date_advocate_general"
1,"J0101",201,"Louis Delvaux","Louis","Delvaux","Delvaux","Delvaux","Delvaux",1,"Belgium","BE",1895,2,"Male",0,1,0,0,0,1,"Former CJ judge",0,0,1952-12-04,1958-10-07,1952-12-04,1958-10-07,NA,NA,NA,NA,NA,NA
2,"J0102",202,"Josse Mertens de Wilmars","Josse","Mertens de Wilmars","Mertens de Wilmars","Mertens de Wilmars","Mertens de Wilmars",1,"Belgium","BE",1912,2,"Male",0,1,0,0,0,1,"Former CJ judge",0,0,1967-10-09,1984-04-10,1967-10-09,1984-04-10,NA,NA,NA,NA,NA,NA
3,"J0103",203,"René Joliet","René","Joliet","Joliet","Joliet","Joliet",1,"Belgium","BE",1938,2,"Male",0,1,0,0,0,1,"Former CJ judge",0,0,1984-04-10,1995-07-15,1984-04-10,1995-07-15,NA,NA,NA,NA,NA,NA
4,"J0104",209,"Walter Van Gerven","Walter","Van Gerven","Van Gerven","Van Gerven","Van Gerven",1,"Belgium","BE",1935,2,"Male",0,0,0,0,1,1,"Former AG",0,0,1988-10-07,1994-10-06,NA,NA,NA,NA,NA,NA,1988-10-07,1994-10-06
5,"J0105",204,"Koen Lenaerts","Koen","Lenaerts","Lenaerts","Lenaerts","Lenaerts",1,"Belgium","BE",1954,2,"Male",0,1,1,0,0,2,"Current CJ judge; Former GC judge",1,0,1989-09-25,NA,2003-10-07,NA,1989-09-25,2003-10-06,NA,NA,NA,NA
6,"J0106",205,"Melchior Wathelet","Melchior","Wathelet","Wathelet","Wathelet","Wathelet",1,"Belgium","BE",1949,2,"Male",0,1,0,0,1,2,"Former CJ judge; Former AG",0,1,1995-09-08,2018-10-08,1995-09-08,2003-10-06,NA,NA,NA,NA,2012-10-08,2018-10-08
7,"J0107",206,"Franklin Dehousse","Franklin","Dehousse","Dehousse","Dehousse","Dehousse",1,"Belgium","BE",1959,2,"Male",0,0,1,0,0,1,"Former GC judge",0,0,2003-10-07,2016-08-31,NA,NA,2003-10-07,2016-08-31,NA,NA,NA,NA
8,"J0108",210,"Sean Van Raepenbusch","Sean","Van Raepenbusch","Van Raepenbusch","Van Raepenbusch","Van Raepenbusch",1,"Belgium","BE",1956,2,"Male",0,0,0,1,0,1,"Former CST judge",0,0,2005-10-06,2016-08-31,NA,NA,NA,NA,2005-10-06,2016-08-31,NA,NA
9,"J0109",207,"Paul Nihoul","Paul","Nihoul","Nihoul","Nihoul","Nihoul",1,"Belgium","BE",1963,2,"Male",0,0,1,0,0,1,"Current GC judge",1,0,2016-09-01,NA,NA,NA,2016-09-01,NA,NA,NA,NA,NA
10,"J0110",208,"Geert De Baere","Geert","De Baere","De Baere","De Baere","De Baere",1,"Belgium","BE",1979,2,"Male",0,0,1,0,0,1,"Current GC judge",1,0,2017-10-04,NA,NA,NA,2017-10-04,NA,NA,NA,NA,NA
11,"J0201",1013,"Maurice Lagrange","Maurice","Lagrange","Lagrange","Lagrange","Lagrange",2,"France","FR",1900,2,"Male",0,0,0,0,1,1,"Former AG",0,0,1952-12-04,1964-10-08,NA,NA,NA,NA,NA,NA,1952-12-04,1964-10-08
12,"J0202",1001,"Jacques Rueff","Jacques","Rueff","Rueff","Rueff","Rueff",2,"France","FR",1896,2,"Male",0,1,0,0,0,1,"Former CJ judge",0,0,1952-12-04,1962-05-18,1952-12-04,1962-05-18,NA,NA,NA,NA,NA,NA
13,"J0203",1002,"Robert Lecourt","Robert","Lecourt","Lecourt","Lecourt","Lecourt",2,"France","FR",1908,2,"Male",0,1,0,0,0,1,"Former CJ judge",0,0,1962-05-18,1976-10-06,1962-05-18,1976-10-06,NA,NA,NA,NA,NA,NA
14,"J0204",1020,"Joseph Gand","Joseph","Gand","Gand","Gand","Gand",2,"France","FR",1913,2,"Male",0,0,0,0,1,1,"Former AG",0,0,1964-10-08,1970-10-06,NA,NA,NA,NA,NA,NA,1964-10-08,1970-10-06
15,"J0205",1014,"Alain Louis Dutheillet de Lamothe","Alain Louis","Dutheillet de Lamothe","Dutheillet de Lamothe","Dutheillet de Lamothe","Dutheillet de Lamothe",2,"France","FR",1919,2,"Male",0,0,0,0,1,1,"Former AG",0,0,1970-10-07,1972-01-02,NA,NA,NA,NA,NA,NA,1970-10-07,1972-01-02
16,"J0206",1015,"Henri Mayras","Henri","Mayras","Mayras","Mayras","Mayras",2,"France","FR",1920,2,"Male",0,0,0,0,1,1,"Former AG",0,0,1972-03-22,1981-03-18,NA,NA,NA,NA,NA,NA,1972-03-22,1981-03-18
